F1,F2,F3,F4,F5,F6,F7,F8,NIR_1,NIR_2,Class
53,141,159,411,668,687,535,281,170,157,0
271,802,693,1000,1000,1000,1000,1000,632,603,0
61,168,151,451,1000,1000,1000,1000,230,764,0
117,333,306,877,1000,1000,1000,1000,160,560,0
56,150,175,444,1000,1000,1000,663,168,242,0
122,367,332,976,1000,1000,1000,1000,353,379,0
139,418,376,1000,1000,1000,1000,794,393,370,0
123,371,335,989,1000,1000,1000,770,358,363,0
28,72,83,214,413,425,340,181,141,142,0
117,349,317,933,1000,1000,1000,743,339,356,0
117,351,313,935,1000,1000,1000,752,339,353,0
108,322,291,864,1000,1000,1000,679,328,326,0
24,60,69,180,345,358,290,155,133,135,0
103,301,281,813,1000,1000,978,500,327,258,0
131,389,353,1000,1000,1000,1000,595,387,312,0
59,174,160,464,1000,1000,1000,1000,231,640,0
78,233,234,650,1000,1000,1000,653,189,266,0
21,55,56,142,754,787,604,327,108,154,0
53,156,138,411,699,733,569,308,172,134,0
183,558,489,1000,1000,1000,1000,1000,424,408,0
151,454,414,1000,1000,1000,1000,915,361,359,0
58,161,171,458,888,906,695,367,179,181,0
167,506,444,1000,1000,1000,1000,1000,377,398,0
151,460,399,1000,1000,1000,1000,1000,323,368,0
214,659,584,1000,1000,1000,1000,1000,451,444,0
44,120,134,349,734,754,581,308,141,156,0
251,759,673,1000,1000,1000,1000,1000,516,500,0
120,353,311,924,1000,1000,1000,880,312,358,0
121,355,317,916,1000,1000,1000,800,335,351,0
25,62,70,179,386,411,324,180,122,130,0
195,570,523,1000,1000,1000,1000,784,504,348,0
166,487,437,1000,1000,1000,1000,1000,437,526,0
363,1000,981,1000,1000,1000,1000,1000,844,1000,0
89,239,288,665,1000,1000,1000,574,241,262,0
484,1000,1000,1000,1000,1000,1000,1000,944,1000,0
400,1000,1000,1000,1000,1000,1000,1000,863,1000,0
604,1000,1000,1000,1000,1000,1000,1000,1000,1000,0
95,250,307,695,1000,1000,1000,590,258,261,0
347,1000,937,1000,1000,1000,1000,1000,756,801,0
275,847,749,1000,1000,1000,1000,1000,603,813,0
109,344,296,873,1000,1000,1000,1000,252,611,0
21,51,57,143,442,461,377,201,139,167,0
130,366,391,1000,592,619,511,270,335,215,0
113,322,338,888,1000,1000,1000,837,294,354,0
110,325,302,875,1000,1000,1000,1000,276,520,0
66,171,202,492,1000,1000,1000,590,203,253,0
205,576,563,1000,1000,1000,1000,1000,421,557,0
134,397,365,1000,1000,1000,1000,1000,306,486,0
175,523,474,1000,1000,1000,1000,1000,383,595,0
48,129,147,371,849,882,687,367,162,184,0
203,588,536,1000,1000,1000,1000,1000,460,527,0
253,727,700,1000,1000,1000,1000,1000,599,699,0
251,706,705,1000,1000,1000,1000,1000,615,608,0
70,184,220,528,956,997,778,414,221,210,0
124,349,349,952,1000,1000,1000,862,309,327,0
171,503,477,1000,1000,1000,1000,948,417,376,0
159,467,445,1000,1000,1000,1000,1000,343,525,0
46,123,134,355,636,665,516,279,149,144,0
66,190,190,569,1000,1000,671,405,177,178,0
44,113,136,368,676,633,420,246,133,129,0
202,555,544,1000,1000,1000,1000,1000,474,430,0
266,744,683,1000,1000,1000,1000,1000,608,622,0
272,791,710,1000,1000,1000,1000,1000,623,601,0
230,650,590,1000,1000,1000,1000,1000,543,520,0
101,290,273,864,1000,1000,1000,618,264,270,0
36,85,100,272,558,516,343,202,114,118,0
112,311,308,906,1000,1000,1000,664,261,264,0
243,699,616,1000,1000,1000,1000,1000,504,465,0
242,688,603,1000,1000,1000,1000,1000,501,524,0
244,702,615,1000,1000,1000,1000,1000,507,507,0
200,571,520,1000,1000,1000,1000,1000,426,428,0
41,105,121,328,621,580,385,229,126,126,0
68,189,195,562,1000,1000,728,436,179,194,0
380,1000,1000,1000,1000,1000,1000,1000,752,719,0
362,1000,950,1000,1000,1000,1000,1000,720,726,0
411,1000,1000,1000,1000,1000,1000,1000,825,704,0
307,845,813,1000,1000,1000,1000,1000,621,575,0
42,110,130,355,792,737,498,289,124,132,0
88,227,253,720,930,862,563,341,212,160,0
222,639,571,1000,1000,1000,1000,1000,464,464,0
234,665,594,1000,1000,1000,1000,1000,488,497,0
228,644,578,1000,1000,1000,1000,1000,484,480,0
181,533,467,1000,1000,1000,1000,1000,384,380,0
42,116,122,359,673,622,406,246,131,129,0
39,101,108,322,644,599,390,237,124,128,0
154,443,384,1000,1000,1000,1000,866,333,321,0
180,523,447,1000,1000,1000,1000,1000,374,397,0
161,459,398,1000,1000,1000,1000,964,345,351,0
201,573,507,1000,1000,1000,1000,804,419,300,0
90,249,250,743,1000,1000,918,552,218,228,0
33,79,93,258,561,525,346,207,112,116,0
150,406,368,1000,1000,1000,1000,910,345,350,0
196,531,475,1000,1000,1000,1000,1000,434,437,0
178,486,432,1000,1000,1000,1000,1000,401,425,0
181,490,440,1000,1000,1000,1000,1000,406,399,0
91,238,238,726,1000,1000,893,554,231,237,0
26,63,72,209,458,430,282,174,105,110,0
134,339,331,1000,1000,1000,801,519,309,222,0
189,484,448,1000,1000,1000,1000,1000,415,478,0
151,393,360,1000,1000,1000,1000,1000,347,382,0
173,446,413,1000,1000,1000,1000,904,381,338,0
80,202,203,639,1000,1000,743,479,213,206,0
26,61,71,205,398,376,247,156,106,112,0
51,132,130,429,933,866,555,356,154,167,0
98,264,237,815,1000,1000,913,596,241,234,0
87,234,208,729,1000,1000,861,563,216,225,0
100,273,243,842,1000,1000,848,555,242,221,0
94,253,232,789,1000,1000,857,557,231,222,0
22,52,60,177,347,325,212,133,94,96,0
30,72,79,241,459,429,279,177,108,108,0
125,341,306,1000,1000,1000,1000,716,279,267,0
120,328,291,1000,1000,1000,1000,775,271,285,0
114,308,276,945,1000,1000,1000,749,261,271,0
104,283,254,876,1000,1000,978,633,240,240,0
42,111,112,362,684,634,411,260,131,131,0
17,41,46,138,270,254,167,106,86,86,0
93,254,240,778,1000,1000,871,544,216,215,0
158,447,391,1000,1000,1000,1000,918,334,329,0
167,481,414,1000,1000,1000,1000,933,346,334,0
126,355,311,1000,1000,1000,1000,835,270,300,0
111,310,279,954,1000,1000,1000,685,246,249,0
52,139,144,441,707,648,425,262,142,126,0
21,52,58,172,391,361,239,146,90,96,0
118,328,297,979,1000,1000,1000,716,258,264,0
148,416,365,1000,1000,1000,1000,851,309,303,0
135,377,332,1000,1000,1000,1000,871,288,311,0
141,391,345,1000,1000,1000,1000,817,296,288,0
138,393,347,1000,1000,1000,1000,848,291,300,0
33,83,90,273,564,525,342,212,112,116,0
32,87,97,268,407,377,250,153,100,94,0
121,349,320,1000,1000,1000,1000,682,247,240,0
163,478,414,1000,1000,1000,1000,1000,315,333,0
176,516,445,1000,1000,1000,1000,917,336,303,0
202,599,516,1000,1000,1000,1000,1000,379,368,0
152,441,389,1000,1000,1000,1000,848,294,279,0
58,154,156,483,978,909,594,367,144,149,0
29,74,84,237,394,372,245,151,96,90,0
48,129,131,405,923,861,562,350,132,145,0
99,278,247,824,1000,1000,949,608,208,211,0
88,257,226,765,1000,1000,1000,739,172,237,0
111,318,284,956,1000,1000,1000,878,225,276,0
358,952,878,1000,1000,1000,1000,671,676,225,0
158,436,403,1000,1000,1000,1000,971,326,339,0
76,196,214,643,1000,1000,722,437,182,177,0
29,71,83,245,478,439,289,175,96,96,0
115,320,307,981,1000,1000,1000,660,244,243,0
150,422,374,1000,1000,1000,1000,928,318,319,0
142,394,349,1000,1000,1000,1000,931,297,327,0
140,385,345,1000,1000,1000,1000,846,297,297,0
109,288,265,891,1000,1000,1000,1000,249,345,0
223,610,591,1000,1000,1000,1000,1000,407,407,0
59,150,171,496,1000,1000,687,409,136,153,0
33,88,100,274,612,566,375,231,102,110,0
75,220,214,647,1000,1000,750,469,171,174,0
133,407,351,1000,1000,1000,1000,799,264,261,0
123,377,324,1000,1000,1000,1000,691,240,226,0
174,527,456,1000,1000,1000,1000,1000,326,321,0
180,542,476,1000,1000,1000,1000,1000,333,326,0
159,478,427,1000,1000,1000,1000,1000,303,326,0
78,226,217,662,1000,1000,801,496,184,185,0
28,74,83,231,434,401,266,163,100,100,0
42,117,125,357,664,612,405,248,126,124,0
141,418,373,1000,1000,1000,1000,828,285,282,0
125,363,317,1000,1000,1000,1000,991,267,321,0
122,344,304,1000,1000,1000,1000,731,269,264,0
127,360,318,1000,1000,1000,1000,767,279,275,0
119,333,295,992,1000,1000,1000,715,263,261,0
110,311,276,923,1000,1000,1000,669,245,247,0
65,182,175,557,1000,954,623,390,170,167,0
23,58,65,186,364,337,224,139,94,96,0
23,58,64,185,352,327,217,135,94,94,0
60,168,162,511,977,898,588,370,161,161,0
110,326,282,924,1000,1000,1000,648,237,236,0
224,625,560,1000,1000,1000,1000,1000,451,440,0
115,313,281,955,1000,1000,1000,1000,258,359,0
133,366,327,1000,1000,1000,1000,797,291,285,0
167,466,416,1000,1000,1000,1000,933,349,333,0
133,360,333,1000,1000,1000,1000,815,294,300,0
56,143,152,462,907,836,549,341,153,154,0
32,79,92,261,480,445,294,181,106,106,0
63,172,179,520,1000,936,619,382,160,164,0
144,388,356,1000,1000,1000,1000,1000,311,365,0
146,391,353,1000,1000,1000,1000,858,318,309,0
132,353,317,1000,1000,1000,1000,956,290,339,0
131,351,315,1000,1000,1000,1000,813,288,293,0
133,356,322,1000,1000,1000,1000,822,291,297,0
113,304,280,938,1000,1000,1000,708,252,260,0
49,124,131,408,763,707,460,289,134,132,0
28,67,77,226,417,390,255,157,94,93,0
39,96,106,319,623,581,379,236,116,118,0
126,342,316,1000,1000,1000,1000,758,275,273,0
160,440,393,1000,1000,1000,1000,951,336,334,0
157,426,383,1000,1000,1000,1000,932,327,327,0
174,475,426,1000,1000,1000,1000,964,358,336,0
178,493,441,1000,1000,1000,1000,1000,363,373,0
202,560,505,1000,1000,1000,1000,1000,421,382,0
174,476,462,1000,1000,1000,1000,821,368,306,0
56,146,162,457,928,866,574,347,145,151,0
38,94,109,301,687,643,429,257,110,120,0
85,227,227,704,1000,1000,797,499,203,198,0
162,440,398,1000,1000,1000,1000,962,342,342,0
168,454,408,1000,1000,1000,1000,998,351,350,0
177,479,431,1000,1000,1000,1000,1000,370,368,0
169,482,421,1000,1000,1000,1000,1000,347,347,0
135,400,342,1000,1000,1000,1000,850,288,303,0
67,180,171,566,1000,1000,858,542,165,206,0
30,75,82,251,528,490,320,201,104,108,0
21,52,59,173,336,314,207,130,86,86,0
70,190,184,598,1000,1000,670,429,181,177,0
116,319,284,967,1000,1000,1000,725,261,264,0
120,333,293,1000,1000,1000,1000,751,267,273,0
123,338,300,1000,1000,1000,1000,763,273,276,0
119,327,288,986,1000,1000,1000,734,261,264,0
119,330,294,996,1000,1000,1000,719,264,263,0
66,176,173,556,1000,977,635,403,164,165,0
23,57,64,188,365,339,223,139,84,84,0
56,157,160,472,672,622,405,257,141,122,0
161,469,412,1000,1000,1000,1000,1000,325,360,0
161,475,408,1000,1000,1000,1000,936,321,318,0
176,517,447,1000,1000,1000,1000,1000,347,350,0
167,466,412,1000,1000,1000,1000,981,344,324,0
146,410,361,1000,1000,1000,1000,1000,308,378,0
66,180,180,558,1000,955,622,389,158,157,0
25,67,74,215,406,374,247,152,80,80,0
75,217,207,642,1000,1000,816,507,171,189,0
126,372,320,1000,1000,1000,1000,855,261,285,0
140,407,350,1000,1000,1000,1000,834,285,279,0
143,420,360,1000,1000,1000,1000,874,288,294,0
169,498,426,1000,1000,1000,1000,894,336,300,0
122,355,327,1000,1000,1000,1000,675,258,237,0
33,89,100,274,521,480,318,194,90,90,0
59,169,173,502,1000,926,611,379,140,145,0
163,485,417,1000,1000,1000,1000,999,318,331,0
319,826,769,1000,1000,1000,1000,864,645,287,0
231,601,550,1000,1000,1000,1000,1000,476,591,0
214,557,512,1000,1000,1000,1000,1000,449,462,0
126,322,325,977,1000,1000,1000,756,279,276,0
39,90,109,299,596,556,373,229,102,102,0
92,229,245,714,1000,1000,920,571,209,215,0
218,567,522,1000,1000,1000,1000,1000,448,452,0
245,639,586,1000,1000,1000,1000,1000,500,496,0
228,594,546,1000,1000,1000,1000,1000,468,486,0
196,512,472,1000,1000,1000,1000,1000,407,405,0
87,218,231,685,1000,1000,851,532,196,198,0
36,85,101,282,573,534,357,220,94,96,0
125,319,323,974,1000,1000,1000,737,271,266,0
222,584,532,1000,1000,1000,1000,1000,450,447,0
234,658,579,1000,1000,1000,1000,1000,453,454,0
280,816,711,1000,1000,1000,1000,1000,511,661,0
197,574,499,1000,1000,1000,1000,1000,368,379,0
108,306,300,882,1000,1000,993,620,222,209,0
35,89,101,281,549,507,341,210,88,90,0
118,326,316,950,1000,1000,1000,709,239,237,0
218,626,549,1000,1000,1000,1000,1000,411,399,0
233,691,590,1000,1000,1000,1000,1000,424,425,0
187,514,457,1000,1000,1000,1000,1000,363,472,0
112,298,273,916,1000,1000,1000,775,240,252,0
48,123,129,403,786,727,473,311,122,122,0
20,48,56,164,323,302,199,128,70,70,0
76,200,193,637,1000,1000,778,517,173,177,0
111,294,268,911,1000,1000,1000,700,237,231,0
97,260,236,813,1000,1000,1000,698,209,231,0
117,313,284,968,1000,1000,909,609,247,201,0
204,523,501,1000,1000,1000,1000,778,415,252,0
44,103,125,338,581,544,366,228,108,96,0
46,116,129,374,900,850,572,358,116,136,0
182,491,446,1000,1000,1000,1000,1000,364,390,0
181,486,439,1000,1000,1000,1000,1000,361,361,0
170,456,413,1000,1000,1000,1000,1000,343,377,0
160,429,393,1000,1000,1000,1000,1000,325,345,0
101,264,262,814,1000,1000,963,624,219,215,0
32,74,89,251,470,439,292,185,88,84,0
84,216,220,677,1000,1000,1000,724,186,257,0
152,447,392,1000,1000,1000,1000,1000,299,364,0
110,285,265,889,1000,1000,1000,831,243,273,0
160,409,386,1000,1000,1000,1000,938,332,312,0
74,205,185,629,1000,1000,1000,758,179,269,0
31,83,80,272,651,604,390,256,98,112,0
26,68,76,217,281,260,174,109,80,68,0
35,94,97,295,750,695,451,288,100,112,0
86,247,221,733,1000,1000,863,558,186,194,0
87,252,222,742,1000,1000,854,553,185,189,0
96,278,246,817,1000,1000,904,584,202,201,0
92,264,233,778,1000,1000,847,549,197,194,0
84,242,217,718,1000,1000,806,519,185,185,0
29,78,83,247,472,440,287,183,94,96,0
21,53,59,170,289,274,179,114,80,76,0
103,294,267,873,1000,1000,935,605,222,211,0
105,298,267,883,1000,1000,1000,683,225,234,0
109,317,280,917,1000,1000,1000,674,228,234,0
94,267,241,801,1000,1000,999,646,209,225,0
111,305,282,923,1000,1000,1000,715,249,255,0
39,101,107,327,691,648,425,270,116,124,0
20,50,58,167,315,297,197,126,80,80,0
60,165,158,515,1000,987,637,417,150,162,0
75,212,192,646,1000,1000,770,509,175,184,0
193,533,493,1000,1000,1000,1000,1000,395,412,0
106,297,269,891,1000,1000,1000,920,222,303,0
144,407,370,1000,1000,1000,1000,831,284,264,0
58,153,162,486,891,825,544,349,136,134,0
28,68,81,234,480,447,295,189,82,86,0
117,322,298,967,1000,1000,754,510,237,140,0
131,363,328,1000,1000,1000,1000,748,258,237,0
200,556,497,1000,1000,1000,1000,742,373,234,0
227,626,580,1000,1000,1000,1000,1000,436,411,0
229,596,602,1000,1000,1000,1000,748,460,249,0
11,28,32,90,502,478,321,201,54,94,0
258,576,650,1000,1000,1000,1000,1000,488,394,0
18,36,43,159,310,252,147,76,98,98,0
111,258,240,1000,1000,1000,941,501,264,263,0
117,273,252,1000,1000,1000,989,526,270,273,0
113,262,242,1000,1000,1000,992,528,261,270,0
55,129,126,538,1000,1000,595,311,161,190,0
16,34,40,145,278,224,130,69,90,90,0
